tract_fips,num_killed,num_incidents,city_or_county,state,tract_square_mileage,2014_tract_population,2014_tract_population_black,2014_tract_population_over_age_25_with_no_hs_degree,2014_tract_population_below_poverty_line,,,,,,,,,,,
42045410700,3,3,Chester,Pennsylvania,1.55,"5,533",79.36%,25.29%,25.28%,,,,,,,,,,,
44007000800,3,2,Providence,Rhode Island,0.49,"4,219",9.46%,23.48%,25.22%,,,,,,,,,,,
12011060303,3,3,Fort Lauderdale,Florida,0.42,"6,804",94.55%,23.97%,31.00%,,,,,,,,,,,
12086010011,3,3,Miami Gardens,Florida,0.75,"5,934",70.88%,17.81%,27.97%,,,,,,,,,,,
25013802300,3,3,Springfield,Massachusetts,0.45,"7,030",14.86%,34.36%,36.19%,,,,,,,,,,,
32003003625,3,2,North Las Vegas,Nevada,0.99,"8,109",16.32%,15.64%,16.64%,,,,,,,,,,,
34021002100,3,3,Trenton,New Jersey,0.36,"5,320",45.90%,38.61%,31.52%,,,,,,,,,,,
42133001500,3,2,York,Pennsylvania,0.3,"3,936",24.14%,28.19%,54.40%,,,,,,,,,,,
42133010220,3,1,York,Pennsylvania,1.6,"5,627",3.84%,12.54%,4.18%,,,,,,,,,,,
48303001801,3,2,Lubbock,Texas,1,"6,012",8.15%,9.16%,23.44%,,,,,,,,,,,
53053062600,3,3,Tacoma,Washington,2.68,"3,020",18.18%,10.05%,18.77%,,,,,,,,,,,
12081000305,3,3,Bradenton,Florida,1.15,"6,720",12.08%,46.00%,48.94%,,,,,,,,,,,
22073010900,3,2,Monroe,Louisiana,2.15,"4,889",96.20%,20.50%,34.18%,,,,,,,,,,,
37071031701,3,1,Gastonia,North Carolina,21.66,"3,358",2.71%,23.40%,15.54%,,,,,,,,,,,
37071031704,3,2,Gastonia,North Carolina,8.37,"3,752",6.48%,28.68%,28.65%,,,,,,,,,,,
37127010400,3,3,Rocky Mount,North Carolina,1.86,"3,166",68.41%,18.58%,29.44%,,,,,,,,,,,
42011000100,3,2,Reading,Pennsylvania,0.31,"5,357",10.90%,37.15%,49.64%,,,,,,,,,,,
42011001500,3,2,Reading,Pennsylvania,0.11,"3,474",6.79%,43.56%,37.05%,,,,,,,,,,,
12099006100,3,3,Boynton Beach,Florida,0.98,"4,376",64.49%,19.48%,35.28%,,,,,,,,,,,
34039030400,3,3,Elizabeth,New Jersey,0.21,"5,941",27.76%,45.75%,33.70%,,,,,,,,,,,
39049009240,3,2,Columbus (Whitehall),Ohio,0.32,"1,958",9.14%,16.90%,21.09%,,,,,,,,,,,
39049009350,3,1,Columbus (Whitehall),Ohio,0.68,"2,590",45.29%,21.20%,12.32%,,,,,,,,,,,
51550021403,3,2,Chesapeake,Virginia,2.41,"4,586",30.64%,20.47%,12.49%,,,,,,,,,,,
6037900900,3,2,Lancaster,California,81.8,"3,553",7.43%,11.15%,13.68%,,,,,,,,,,,
13121010510,3,3,Atlanta (College Park),Georgia,11.93,"15,830",82.24%,14.97%,24.64%,,,,,,,,,,,
16001000100,3,1,Boise,Idaho,1.6,"3,998",2.58%,12.67%,40.65%,,,,,,,,,,,
25023510900,3,3,Brockton,Massachusetts,0.29,"2,293",50.76%,44.38%,62.97%,,,,,,,,,,,
5093010300,3,3,Blytheville,Arkansas,6.19,"3,031",80.01%,23.25%,42.07%,,,,,,,,,,,
6037433402,3,3,El Monte,California,0.22,"4,474",0.13%,57.54%,25.48%,,,,,,,,,,,
6107001100,3,3,Visalia,California,0.79,"6,901",1.39%,45.74%,51.15%,,,,,,,,,,,
12099005204,3,1,Lake Worth,Florida,0.57,"3,516",14.31%,20.83%,22.50%,,,,,,,,,,,
13069010400,3,2,Douglas,Georgia,11.47,"4,978",28.38%,19.68%,25.51%,,,,,,,,,,,
13069010500,3,2,Douglas,Georgia,16.33,"3,345",20.12%,18.77%,33.99%,,,,,,,,,,,
17031817600,3,2,Maywood,Illinois,0.4,"3,874",84.15%,16.01%,21.24%,,,,,,,,,,,
30111000200,3,3,Billings,Montana,1.49,"3,337",1.20%,13.49%,28.71%,,,,,,,,,,,
48113014115,3,1,Irving,Texas,1.28,"7,610",12.17%,22.34%,9.97%,,,,,,,,,,,
48479000700,3,1,Laredo,Texas,0.44,"2,888",0.00%,56.88%,46.09%,,,,,,,,,,,
49035100306,3,1,Salt Lake City,Utah,0.7,"5,240",1.55%,29.79%,29.92%,,,,,,,,,,,
51087200804,3,2,Henrico (county),Virginia,2.08,"5,212",77.34%,9.61%,24.00%,,,,,,,,,,,
12127081900,3,2,Daytona Beach,Florida,0.54,"2,887",88.19%,27.15%,48.70%,,,,,,,,,,,
12011060304,3,2,Fort Lauderdale (Lauderhill),Florida,0.29,"3,126",93.15%,25.55%,39.25%,,,,,,,,,,,
12009060600,3,3,Titusville,Florida,2.6,"4,918",26.94%,17.38%,25.25%,,,,,,,,,,,
18097380403,3,2,Beech Grove,Indiana,0.8,"3,962",0.00%,11.10%,11.94%,,,,,,,,,,,
37021001000,3,1,Asheville,North Carolina,1.43,"4,445",16.99%,10.24%,24.88%,,,,,,,,,,,
45041000900,3,3,Florence,South Carolina,2.17,"3,455",97.66%,30.99%,49.38%,,,,,,,,,,,
45051030103,3,3,Longs,South Carolina,31.7,"3,015",31.84%,10.39%,18.87%,,,,,,,,,,,
56021000700,3,2,Cheyenne,Wyoming,2.15,"4,247",0.68%,9.06%,14.06%,,,,,,,,,,,
1087231900,3,3,Tuskegee,Alabama,4.11,"1,342",97.84%,19.89%,36.66%,,,,,,,,,,,
12071040301,3,1,Lehigh Acres,Florida,3.71,"7,414",24.45%,26.49%,13.74%,,,,,,,,,,,
12099001101,3,3,Palm Beach Gardens (Riviera Beach),Florida,1.2,"5,848",59.05%,22.22%,26.37%,,,,,,,,,,,
13261950300,3,1,Americus,Georgia,32.02,"7,196",76.67%,29.00%,27.07%,,,,,,,,,,,
13247060407,3,1,Conyers,Georgia,2.28,"3,179",16.11%,6.82%,16.33%,,,,,,,,,,,
13071970300,3,3,Moultrie,Georgia,18.05,"5,141",62.19%,45.19%,45.36%,,,,,,,,,,,
13135050434,3,3,Norcross,Georgia,0.9,"8,071",15.43%,45.21%,35.11%,,,,,,,,,,,
13121010512,3,3,Union City,Georgia,3.54,"6,580",91.70%,10.47%,30.71%,,,,,,,,,,,
24033801600,3,2,Oxon Hill,Maryland,0.21,"2,366",91.55%,15.46%,20.67%,,,,,,,,,,,
24033802405,3,3,Suitland,Maryland,1.53,"4,124",94.96%,7.77%,9.58%,,,,,,,,,,,
36103122501,3,1,Wyandanch,New York,0.87,"3,872",68.98%,24.19%,18.67%,,,,,,,,,,,
47189030500,3,2,Lebanon,Tennessee,5.31,"6,167",14.85%,20.99%,18.45%,,,,,,,,,,,
49049000703,3,2,Orem,Utah,0.71,"5,593",0.27%,8.57%,21.72%,,,,,,,,,,,
49035112501,3,1,Salt Lake City (Murray),Utah,0.65,"3,966",0.73%,6.23%,10.89%,,,,,,,,,,,
51590000300,3,3,Danville,Virginia,1.16,"3,016",70.52%,25.40%,27.35%,,,,,,,,,,,
53005010813,3,1,Kennewick,Washington,7.9,"10,261",1.27%,4.71%,3.37%,,,,,,,,,,,
1081040901,3,1,Lee County,Alabama,4.19,"3,661",19.09%,5.37%,16.72%,,,,,,,,,,,
1081041700,3,3,Lee County,Alabama,51.85,"8,183",27.92%,13.54%,20.80%,,,,,,,,,,,
6065041806,3,1,Corona,California,0.62,"4,673",8.05%,6.60%,4.17%,,,,,,,,,,,
6037500403,3,2,Pico Rivera,California,0.79,"4,536",1.70%,30.42%,12.96%,,,,,,,,,,,
6067009004,3,3,Rancho Cordova,California,0.53,"3,508",12.40%,12.39%,9.29%,,,,,,,,,,,
13137000202,3,1,Clarkesville,Georgia,98.78,"5,558",0.22%,12.29%,6.68%,,,,,,,,,,,
13299950800,3,2,Waycross,Georgia,484.87,"5,791",38.37%,16.88%,28.84%,,,,,,,,,,,
17031826402,3,3,Dolton,Illinois,0.78,"5,208",85.02%,11.60%,14.71%,,,,,,,,,,,
20091050400,3,2,Overland Park,Kansas,1.6,"4,865",4.87%,9.72%,17.31%,,,,,,,,,,,
21035010302,3,2,Murray,Kentucky,13.48,"6,421",3.91%,13.65%,39.98%,,,,,,,,,,,
22099020100,3,1,Breaux Bridge,Louisiana,313.43,"5,671",4.55%,25.44%,23.49%,,,,,,,,,,,
22105953600,3,1,Independence,Louisiana,27.22,"6,425",68.23%,27.57%,35.70%,,,,,,,,,,,
24005491701,3,1,Parkville,Maryland,1.15,"4,098",19.45%,7.86%,7.47%,,,,,,,,,,,
29019001002,3,1,Boone County,Missouri,8.86,"6,052",4.86%,13.05%,16.42%,,,,,,,,,,,
37063002019,3,1,Chapel Hill,North Carolina,7.85,"4,625",5.47%,3.10%,15.44%,,,,,,,,,,,
37097061301,3,1,Statesville,North Carolina,14.66,"2,609",10.04%,22.80%,29.97%,,,,,,,,,,,
37065021100,3,1,Tarboro,North Carolina,15.78,"3,972",36.96%,35.62%,16.74%,,,,,,,,,,,
37013930400,3,2,Washington,North Carolina,5.83,"4,634",45.12%,19.09%,29.97%,,,,,,,,,,,
40109107601,3,2,Oklahoma City (Midwest City),Oklahoma,0.99,"2,384",23.24%,11.74%,24.96%,,,,,,,,,,,
48491020109,3,1,Williamson (county),Texas,9.64,"3,058",0.78%,2.32%,2.75%,,,,,,,,,,,
1019955800,3,1,Cherokee (county),Alabama,90.22,"5,283",3.24%,15.25%,18.42%,,,,,,,,,,,
1069042000,3,1,Cottonwood,Alabama,78.84,"5,895",9.25%,19.63%,16.18%,,,,,,,,,,,
1073014203,3,1,Mc Calla (Mccalla),Alabama,36.46,"12,733",24.13%,4.77%,3.33%,,,,,,,,,,,
4017942400,3,1,Kayenta,Arizona,952.72,"2,414",0.33%,33.46%,58.45%,,,,,,,,,,,
4013050603,3,2,Tonopah,Arizona,"1,332.61","3,867",0.28%,24.41%,16.71%,,,,,,,,,,,
5139951000,3,3,El Dorado,Arkansas,4.71,"4,399",79.72%,26.41%,31.69%,,,,,,,,,,,
6009000400,3,1,Calaveras (county),California,179.1,"3,649",0.05%,9.54%,22.91%,,,,,,,,,,,
6017030602,3,1,Greenwood,California,138,"6,596",0.47%,7.50%,8.14%,,,,,,,,,,,
6037104701,3,2,Pacoima,California,0.21,"3,836",7.95%,57.77%,41.21%,,,,,,,,,,,
6065044701,3,1,Palm Springs,California,1.01,"3,466",9.84%,19.57%,13.16%,,,,,,,,,,,
6053014000,3,2,Seaside (Sand City),California,1.02,"2,610",2.84%,27.38%,16.17%,,,,,,,,,,,
6073020903,3,1,Warner Springs,California,492.77,"2,498",0.84%,10.42%,18.78%,,,,,,,,,,,
6047000504,3,2,Winton,California,2.66,"6,879",0.73%,51.12%,26.95%,,,,,,,,,,,
12107951000,3,1,East Palatka,Florida,29.84,"4,040",14.43%,18.52%,13.64%,,,,,,,,,,,
12101031703,3,1,New Port Richey,Florida,7.86,"4,887",1.68%,24.57%,28.30%,,,,,,,,,,,
12109020902,3,2,Saint Augustine (St Augustine),Florida,65.1,"25,686",4.59%,4.82%,5.75%,,,,,,,,,,,
13223120501,3,2,Hiram,Georgia,8.76,"6,256",27.94%,12.21%,15.55%,,,,,,,,,,,
13277960600,3,2,Tifton,Georgia,5.44,"5,684",81.83%,38.14%,48.96%,,,,,,,,,,,
13313000101,3,1,Varnell,Georgia,52.17,"4,234",0.14%,29.84%,16.13%,,,,,,,,,,,
16057005300,3,1,Moscow,Idaho,25.4,"6,433",1.31%,2.36%,22.04%,,,,,,,,,,,
17031809200,3,3,Evanston,Illinois,0.46,"5,153",58.53%,18.91%,17.58%,,,,,,,,,,,
17001000400,3,3,Quincy,Illinois,1.72,"3,736",11.99%,15.02%,26.90%,,,,,,,,,,,
18065976700,3,1,Henry (county),Indiana,34.35,"4,491",0.00%,10.34%,16.50%,,,,,,,,,,,
18117951700,3,1,Paoli,Indiana,5.13,"3,129",1.12%,17.80%,17.03%,,,,,,,,,,,
20057961900,3,1,Dodge City,Kansas,20.15,"8,073",2.69%,28.87%,14.02%,,,,,,,,,,,
20205097300,3,1,Fredonia,Kansas,11.83,"2,744",0.22%,18.50%,20.85%,,,,,,,,,,,
21047201301,3,1,Pembroke,Kentucky,92.33,"2,970",9.46%,14.79%,10.27%,,,,,,,,,,,
22117950800,3,2,Bogalusa,Louisiana,6.25,"3,898",71.60%,22.91%,41.20%,,,,,,,,,,,
22005031000,3,2,Donaldsonville,Louisiana,13.9,"7,132",72.56%,13.99%,25.03%,,,,,,,,,,,
22077951900,3,2,New Roads,Louisiana,58.01,"5,476",75.93%,23.13%,23.05%,,,,,,,,,,,
26005030401,3,1,Dorr Township,Michigan,36.15,"7,512",0.53%,6.51%,7.18%,,,,,,,,,,,
26153000100,3,1,Doyle Township,Michigan,727.81,"2,587",0.81%,9.59%,17.36%,,,,,,,,,,,
26103002900,3,1,Marquette Township,Michigan,292.5,"3,887",0.75%,4.91%,7.46%,,,,,,,,,,,
26163584500,3,2,Taylor,Michigan,2.02,"2,805",13.83%,13.74%,11.05%,,,,,,,,,,,
27037060812,3,1,Saint Paul (Apple Valley),Minnesota,1.41,"6,023",13.78%,4.86%,8.75%,,,,,,,,,,,
27169670300,3,2,Winona,Minnesota,8.73,"6,617",2.24%,9.23%,8.57%,,,,,,,,,,,
28011950600,3,1,Cleveland,Mississippi,7.08,"6,397",8.22%,4.58%,10.96%,,,,,,,,,,,
28091950600,3,1,Marion County,Mississippi,112.47,"4,825",14.20%,31.18%,18.16%,,,,,,,,,,,
28153950100,3,1,Wayne (county),Mississippi,230.88,"5,173",50.80%,20.68%,27.60%,,,,,,,,,,,
29043020305,3,1,Christian County,Missouri,8.94,"6,378",2.01%,10.34%,9.94%,,,,,,,,,,,
30063001100,3,1,Missoula,Montana,0.56,"3,352",0.00%,3.69%,21.60%,,,,,,,,,,,
33011002903,3,1,Bedford,New Hampshire,13.6,"8,092",0.10%,2.74%,0.67%,,,,,,,,,,,
34003013002,3,1,Edgewater,New Jersey,0.42,"5,614",8.37%,7.47%,15.03%,,,,,,,,,,,
34035052203,3,1,Warren,New Jersey,5.58,"4,913",0.79%,2.67%,1.81%,,,,,,,,,,,
35061970700,3,2,Los Lunas,New Mexico,15.97,"5,717",1.42%,18.64%,22.93%,,,,,,,,,,,
36119008403,3,1,Harrison,New York,0.5,"3,785",0.98%,12.40%,6.24%,,,,,,,,,,,
36103169701,3,1,Wading River,New York,9.79,"7,694",1.14%,4.95%,4.42%,,,,,,,,,,,
37165010300,3,3,Laurinburg,North Carolina,9.31,"4,622",53.74%,25.07%,31.83%,,,,,,,,,,,
39103408302,3,1,Medina,Ohio,3.77,"10,194",2.84%,5.05%,8.97%,,,,,,,,,,,
39093080103,3,2,North Ridgeville,Ohio,1.18,"4,494",1.25%,6.36%,7.92%,,,,,,,,,,,
40005587800,3,1,Atoka County,Oklahoma,251.61,"3,737",0.00%,14.11%,18.46%,,,,,,,,,,,
40101001500,3,1,Webbers Falls,Oklahoma,230.71,"6,194",1.81%,15.77%,20.96%,,,,,,,,,,,
41019180000,3,2,Myrtle Creek,Oregon,135.01,"4,439",0.00%,15.20%,21.20%,,,,,,,,,,,
41039000903,3,1,Veneta,Oregon,14.54,"5,301",0.38%,10.17%,14.36%,,,,,,,,,,,
42091200707,3,1,Hatfield,Pennsylvania,3.01,"4,199",4.10%,14.72%,7.17%,,,,,,,,,,,
42097081700,3,1,Shamokin,Pennsylvania,0.29,"1,925",0.00%,15.40%,21.35%,,,,,,,,,,,
42133020222,3,1,York (county),Pennsylvania,15.87,"4,747",0.99%,6.20%,3.60%,,,,,,,,,,,
45083022304,3,3,Chesnee,South Carolina,30.85,"4,316",5.12%,23.74%,32.95%,,,,,,,,,,,
45019002200,3,1,Wadmalaw Island,South Carolina,41.9,"2,863",50.61%,16.08%,22.46%,,,,,,,,,,,
47163043100,3,1,Bristol,Tennessee,65.83,"2,968",1.42%,26.61%,16.44%,,,,,,,,,,,
47179061701,3,1,Jonesborough,Tennessee,14.17,"6,636",2.08%,9.94%,7.94%,,,,,,,,,,,
47111970300,3,2,Lafayette,Tennessee,68.67,"8,814",0.24%,26.63%,23.21%,,,,,,,,,,,
48025950300,3,1,Beeville,Texas,4.1,"5,033",1.13%,19.25%,20.05%,,,,,,,,,,,
53063010305,3,1,Colbert,Washington,24.74,"5,660",0.00%,5.18%,1.43%,,,,,,,,,,,
53077940006,3,2,Toppenish,Washington,1.74,"4,792",0.21%,52.02%,36.71%,,,,,,,,,,,
53011040809,3,1,Vancouver (Hazel Dell),Washington,0.88,"5,841",1.10%,10.55%,11.56%,,,,,,,,,,,
55003950800,3,1,Ashland,Wisconsin,86.2,"3,360",0.33%,5.82%,10.54%,,,,,,,,,,,
5131001302,3,2,Barling,Arkansas,22.25,"9,417",2.56%,12.27%,17.35%,,,,,,,,,,,
6067009900,3,3,Elk Grove,California,98.07,"4,028",1.17%,19.62%,13.36%,,,,,,,,,,,
6115040200,3,3,Marysville,California,1.64,"7,890",3.36%,16.32%,26.34%,,,,,,,,,,,
22051025202,3,3,Gretna,Louisiana,0.72,"6,298",33.72%,18.77%,27.50%,,,,,,,,,,,
28013950300,3,3,Calhoun (county),Mississippi,210.19,"3,014",29.30%,28.01%,17.45%,,,,,,,,,,,
29021002800,3,2,Buchanan (county),Missouri,107.6,"5,281",0.59%,6.96%,8.98%,,,,,,,,,,,
48161000700,3,2,Freestone County,Texas,5.78,"3,106",14.17%,19.29%,19.54%,,,,,,,,,,,
48167723900,3,3,Galveston,Texas,53.62,"1,959",0.00%,9.91%,6.02%,,,,,,,,,,,
53031950300,3,3,Port Ludlow,Washington,80.36,"5,986",1.49%,5.70%,6.83%,,,,,,,,,,,
1047957300,3,3,Dallas (county),Alabama,66.84,"4,037",88.48%,22.24%,36.59%,,,,,,,,,,,
1095030100,3,2,Langston,Alabama,67.07,"2,913",0.00%,29.24%,29.25%,,,,,,,,,,,
6019006403,3,2,Dunlap,California,820.79,"5,713",0.61%,15.75%,10.54%,,,,,,,,,,,
12095012202,3,3,Orlando (Pine Hills),Florida,0.85,"4,906",67.26%,27.08%,28.19%,,,,,,,,,,,
13199970800,3,3,Greenvile,Georgia,155.84,"5,003",46.01%,25.00%,16.97%,,,,,,,,,,,
17031600900,3,3,Bridgeport,Illinois,0.15,"3,658",13.89%,20.29%,17.25%,,,,,,,,,,,
21051950400,3,3,Big Creek,Kentucky,95.39,"3,107",0.00%,38.95%,37.14%,,,,,,,,,,,
24031700713,3,3,Gaithersburg,Maryland,0.55,"5,741",22.52%,15.36%,8.76%,,,,,,,,,,,
26121001402,3,3,Muskegon,Michigan,0.85,"4,127",64.79%,15.26%,43.47%,,,,,,,,,,,
39015951400,3,2,Brown County,Ohio,56.29,"4,232",0.00%,16.85%,18.64%,,,,,,,,,,,
40015162000,3,2,Caddo County,Oklahoma,283.7,"3,188",1.04%,9.03%,8.88%,,,,,,,,,,,
45035010818,3,3,Dorchester (county),South Carolina,3.32,"9,449",44.09%,13.31%,18.58%,,,,,,,,,,,
45077010402,3,2,Pickens,South Carolina,14.89,"5,244",3.26%,21.42%,18.65%,,,,,,,,,,,
48399950100,3,2,Everett,Texas,467.48,"1,256",0.00%,11.21%,8.68%,,,,,,,,,,,
48157672900,3,2,Fort Bend,Texas,18.2,"34,898",27.00%,10.84%,8.65%,,,,,,,,,,,
51001090700,3,2,Keller,Virginia,60.47,"5,021",40.81%,16.06%,21.79%,,,,,,,,,,,
48201533802,3,3,Harris (county),Texas,2.13,"6,698",11.70%,40.72%,34.83%,,,,,,,,,,,
48201550301,3,3,Harris (county),Texas,1.09,"7,471",59.28%,22.94%,18.39%,,,,,,,,,,,
48201550401,3,3,Harris (county),Texas,3.85,"11,484",32.83%,35.59%,33.86%,,,,,,,,,,,
48201553300,3,3,Harris (county),Texas,0.54,"5,151",56.55%,12.13%,26.25%,,,,,,,,,,,
17031010100,2,2,Chicago,Illinois,0.15,"4,189",38.86%,4.37%,28.93%,,,,,,,,,,,
17031010202,2,2,Chicago,Illinois,0.14,"2,502",31.97%,17.63%,27.50%,,,,,,,,,,,
17031031700,2,2,Chicago,Illinois,0.18,"6,525",22.10%,9.70%,28.54%,,,,,,,,,,,
17031190601,2,2,Chicago,Illinois,0.27,"4,777",4.27%,37.31%,24.93%,,,,,,,,,,,
17031230700,2,2,Chicago,Illinois,0.25,"5,177",10.45%,34.64%,23.51%,,,,,,,,,,,
17031242900,2,2,Chicago,Illinois,0.13,"1,818",5.61%,9.56%,18.37%,,,,,,,,,,,
17031250200,2,1,Chicago,Illinois,0.19,"2,968",56.30%,27.32%,28.30%,,,,,,,,,,,
17031250800,2,2,Chicago,Illinois,0.22,"2,438",76.83%,30.04%,27.40%,,,,,,,,,,,
17031251000,2,2,Chicago,Illinois,0.18,"1,284",87.15%,19.19%,31.39%,,,,,,,,,,,
17031251500,2,2,Chicago,Illinois,0.26,"4,084",91.97%,24.27%,31.46%,,,,,,,,,,,
17031251600,2,2,Chicago,Illinois,0.19,"3,689",90.35%,26.74%,36.38%,,,,,,,,,,,
17031251700,2,1,Chicago,Illinois,0.19,"1,805",79.39%,49.49%,55.18%,,,,,,,,,,,
17031260500,2,2,Chicago,Illinois,0.13,"1,837",96.30%,32.78%,43.77%,,,,,,,,,,,
17031260600,2,2,Chicago,Illinois,0.12,"2,592",95.76%,21.11%,47.96%,,,,,,,,,,,
17031261000,2,2,Chicago,Illinois,0.19,"2,594",99.61%,28.30%,41.33%,,,,,,,,,,,
17031271300,2,2,Chicago,Illinois,0.13,"1,169",98.89%,16.95%,52.61%,,,,,,,,,,,
17031271500,2,2,Chicago,Illinois,0.06,"1,286",96.35%,20.13%,53.34%,,,,,,,,,,,
17031283100,2,1,Chicago,Illinois,0.08,"2,758",45.00%,2.90%,37.49%,,,,,,,,,,,
17031291200,2,2,Chicago,Illinois,0.13,"2,368",98.69%,17.89%,40.75%,,,,,,,,,,,
17031292200,2,2,Chicago,Illinois,0.15,"2,866",93.75%,24.40%,43.86%,,,,,,,,,,,
17031292500,2,2,Chicago,Illinois,0.38,"4,276",95.72%,22.27%,38.42%,,,,,,,,,,,
17031301803,2,2,Chicago,Illinois,0.14,"5,054",2.28%,54.82%,38.54%,,,,,,,,,,,
17031310400,2,1,Chicago,Illinois,0.05,"1,426",6.10%,32.08%,13.46%,,,,,,,,,,,
17031420700,2,2,Chicago,Illinois,0.25,"3,050",94.66%,22.42%,44.69%,,,,,,,,,,,
17031431200,2,1,Chicago,Illinois,0.25,"3,291",94.17%,9.62%,13.25%,,,,,,,,,,,
17031440101,2,2,Chicago,Illinois,0.15,"3,747",93.19%,19.94%,34.29%,,,,,,,,,,,
17031440102,2,2,Chicago,Illinois,0.24,"3,156",98.00%,12.33%,37.45%,,,,,,,,,,,
17031440201,2,2,Chicago,Illinois,0.21,"5,343",97.62%,13.01%,30.02%,,,,,,,,,,,
17031440600,2,2,Chicago,Illinois,0.26,"2,056",98.54%,8.26%,20.43%,,,,,,,,,,,
17031460200,2,2,Chicago,Illinois,0.23,"2,626",52.21%,34.71%,36.14%,,,,,,,,,,,
17031460400,2,2,Chicago,Illinois,0.25,"3,154",98.29%,13.68%,19.12%,,,,,,,,,,,
17031490700,2,2,Chicago,Illinois,0.25,"2,888",98.55%,28.52%,30.89%,,,,,,,,,,,
17031530400,2,2,Chicago,Illinois,0.51,"2,017",97.77%,16.73%,20.53%,,,,,,,,,,,
17031530501,2,1,Chicago,Illinois,0.5,"5,192",95.01%,17.47%,38.35%,,,,,,,,,,,
17031540102,2,2,Chicago,Illinois,2.05,"3,268",94.89%,29.20%,54.74%,,,,,,,,,,,
17031550200,2,2,Chicago,Illinois,1.98,"2,579",1.67%,12.43%,7.83%,,,,,,,,,,,
17031611900,2,2,Chicago,Illinois,0.24,"2,154",80.87%,37.33%,43.04%,,,,,,,,,,,
17031630400,2,2,Chicago,Illinois,0.25,"6,835",0.00%,55.94%,28.60%,,,,,,,,,,,
17031660700,2,2,Chicago,Illinois,0.19,"2,677",93.01%,27.43%,43.29%,,,,,,,,,,,
17031670300,2,2,Chicago,Illinois,0.13,"1,381",91.46%,18.51%,51.41%,,,,,,,,,,,
17031671400,2,2,Chicago,Illinois,0.19,"1,864",96.19%,29.69%,35.09%,,,,,,,,,,,
17031671600,2,2,Chicago,Illinois,0.16,"2,291",90.79%,17.69%,41.42%,,,,,,,,,,,
17031671800,2,2,Chicago,Illinois,0.13,"1,139",92.36%,37.86%,37.31%,,,,,,,,,,,
17031672000,2,2,Chicago,Illinois,0.38,"4,148",94.33%,21.25%,12.61%,,,,,,,,,,,
17031680500,2,2,Chicago,Illinois,0.13,"1,285",87.16%,24.54%,62.88%,,,,,,,,,,,
17031681100,2,2,Chicago,Illinois,0.25,"3,583",98.72%,30.92%,47.59%,,,,,,,,,,,
17031681200,2,2,Chicago,Illinois,0.31,"2,375",94.95%,23.05%,46.36%,,,,,,,,,,,
17031690900,2,2,Chicago,Illinois,0.25,"4,442",97.73%,10.43%,43.36%,,,,,,,,,,,
17031691400,2,2,Chicago,Illinois,0.25,"2,716",98.34%,15.32%,22.02%,,,,,,,,,,,
17031711200,2,2,Chicago,Illinois,0.43,"4,928",99.72%,13.05%,23.11%,,,,,,,,,,,
17031730202,2,2,Chicago,Illinois,0.34,"3,479",95.06%,14.56%,20.29%,,,,,,,,,,,
17031730400,2,2,Chicago,Illinois,0.5,"3,801",96.34%,11.75%,13.92%,,,,,,,,,,,
17031750100,2,2,Chicago,Illinois,0.5,"4,411",96.33%,10.88%,26.91%,,,,,,,,,,,
17031750600,2,2,Chicago,Illinois,0.51,"3,705",94.44%,13.43%,35.11%,,,,,,,,,,,
17031830700,2,2,Chicago,Illinois,0.33,"3,561",31.76%,15.49%,34.23%,,,,,,,,,,,
17031832300,2,1,Chicago,Illinois,0.32,"1,975",2.73%,2.91%,8.51%,,,,,,,,,,,
17031833900,2,2,Chicago,Illinois,0.26,"2,171",47.63%,32.22%,46.11%,,,,,,,,,,,
17031834400,2,1,Chicago,Illinois,0.23,"4,197",91.30%,6.59%,25.04%,,,,,,,,,,,
17031835000,2,2,Chicago,Illinois,0.39,"5,811",63.74%,30.84%,39.17%,,,,,,,,,,,
17031835800,2,2,Chicago,Illinois,0.11,"1,469",94.49%,13.91%,34.17%,,,,,,,,,,,
17031838100,2,2,Chicago,Illinois,0.32,"1,837",50.14%,15.84%,26.40%,,,,,,,,,,,
17031840300,2,2,Chicago,Illinois,0.32,"4,147",2.29%,34.98%,24.62%,,,,,,,,,,,
17031840700,2,2,Chicago,Illinois,0.21,"4,070",2.80%,55.50%,46.36%,,,,,,,,,,,
17031843100,2,2,Chicago,Illinois,0.37,"2,273",86.93%,21.22%,26.13%,,,,,,,,,,,
48157670300,2,2,Houston,Texas,1.16,"3,780",76.51%,16.46%,13.81%,,,,,,,,,,,
48201211100,2,2,Houston,Texas,0.92,"6,040",49.17%,45.62%,51.41%,,,,,,,,,,,
48201220300,2,1,Houston,Texas,0.77,"4,167",2.16%,52.52%,30.62%,,,,,,,,,,,
48201220900,2,2,Houston,Texas,0.58,"1,509",8.95%,52.46%,23.79%,,,,,,,,,,,
48201222000,2,2,Houston,Texas,0.44,"2,592",4.75%,51.86%,28.16%,,,,,,,,,,,
48201222501,2,1,Houston,Texas,0.35,"3,783",5.71%,60.23%,44.59%,,,,,,,,,,,
48201310900,2,1,Houston,Texas,0.67,"5,196",0.54%,54.89%,33.22%,,,,,,,,,,,
48201311300,2,2,Houston,Texas,0.57,"4,802",2.02%,43.10%,24.26%,,,,,,,,,,,
48201312200,2,2,Houston,Texas,0.42,"2,093",76.02%,37.22%,50.84%,,,,,,,,,,,
48201312800,2,2,Houston,Texas,0.36,"2,186",83.21%,26.66%,38.79%,,,,,,,,,,,
