state,city_or_county,num_killed,num_incidents,num_killed_ranking,running_total_num_killed,running_total_percent_of_all_killed,running_total_num_incidents,running_total_percent_of_all_incidents
Florida,Northdale,1,1,"1,840",11451,87.63%,10005,86.09%
Florida,Orange City,1,1,"1,841",11452,87.64%,10006,86.10%
Florida,Orlando (Pine Castle),1,1,"1,842",11453,87.65%,10007,86.11%
Florida,Orlando (Pine Hills),1,1,"1,843",11454,87.66%,10008,86.12%
Florida,Palm Bay,1,1,"1,844",11455,87.66%,10009,86.13%
Florida,Palm Coast,1,1,"1,845",11456,87.67%,10010,86.14%
Florida,Panama City,1,1,"1,846",11457,87.68%,10011,86.15%
Florida,Panama City Beach,1,1,"1,847",11458,87.69%,10012,86.15%
Florida,Perry,1,1,"1,848",11459,87.69%,10013,86.16%
Florida,Pierson,1,1,"1,849",11460,87.70%,10014,86.17%
Florida,Poinciana,1,1,"1,850",11461,87.71%,10015,86.18%
Florida,Polk County,1,1,"1,851",11462,87.72%,10016,86.19%
Florida,Pompano Beach (North Lauderdale),1,1,"1,852",11463,87.72%,10017,86.20%
Florida,Port Richey,1,1,"1,853",11464,87.73%,10018,86.21%
Florida,Punta Gorda,1,1,"1,854",11465,87.74%,10019,86.21%
Florida,Putnam (county),1,1,"1,855",11466,87.75%,10020,86.22%
Florida,Putnam County,1,1,"1,856",11467,87.76%,10021,86.23%
Florida,Riverview,1,1,"1,857",11468,87.76%,10022,86.24%
Florida,Riviera Beach,1,1,"1,858",11469,87.77%,10023,86.25%
Florida,Saint Augustine,1,1,"1,859",11470,87.78%,10024,86.26%
Florida,Saint Marks,1,1,"1,860",11471,87.79%,10025,86.27%
Florida,San Mateo,1,1,"1,861",11472,87.79%,10026,86.27%
Florida,Seffner,1,1,"1,862",11473,87.80%,10027,86.28%
Florida,Seminole,1,1,"1,863",11474,87.81%,10028,86.29%
Florida,Seminole (county),1,1,"1,864",11475,87.82%,10029,86.30%
Florida,Sorrento,1,1,"1,865",11476,87.82%,10030,86.31%
Florida,South Bay,1,1,"1,866",11477,87.83%,10031,86.32%
Florida,St Petersburg,1,1,"1,867",11478,87.84%,10032,86.33%
Florida,St. Lucie County,1,1,"1,868",11479,87.85%,10033,86.34%
Florida,St. Petersburg,1,1,"1,869",11480,87.85%,10034,86.34%
Florida,Tamarac,1,1,"1,870",11481,87.86%,10035,86.35%
Florida,Tampa (Temple Terrace),1,1,"1,871",11482,87.87%,10036,86.36%
Florida,Temple Terrace,1,1,"1,872",11483,87.88%,10037,86.37%
Florida,West Palm Beach (Lake Park),1,1,"1,873",11484,87.89%,10038,86.38%
Florida,West Park,1,1,"1,874",11485,87.89%,10039,86.39%
Florida,Wildwood,1,1,"1,875",11486,87.90%,10040,86.40%
Florida,Williston,1,1,"1,876",11487,87.91%,10041,86.40%
Florida,Winter Springs,1,1,"1,877",11488,87.92%,10042,86.41%
Florida,Yulee,1,1,"1,878",11489,87.92%,10043,86.42%
Georgia,Adel,1,1,"1,879",11490,87.93%,10044,86.43%
Georgia,Arlington,1,1,"1,880",11491,87.94%,10045,86.44%
Georgia,Atlanta (Dunwoody),1,1,"1,881",11492,87.95%,10046,86.45%
Georgia,Atlanta (East Point),1,1,"1,882",11493,87.95%,10047,86.46%
Georgia,Bibb County,1,1,"1,883",11494,87.96%,10048,86.46%
Georgia,Bonaire,1,1,"1,884",11495,87.97%,10049,86.47%
Georgia,Brinson,1,1,"1,885",11496,87.98%,10050,86.48%
Georgia,Calhoun,1,1,"1,886",11497,87.99%,10051,86.49%
Georgia,Canton,1,1,"1,887",11498,87.99%,10052,86.50%
Georgia,Carnesville,1,1,"1,888",11499,88.00%,10053,86.51%
Georgia,Cedartown,1,1,"1,889",11500,88.01%,10054,86.52%
Georgia,Centerville,1,1,"1,890",11501,88.02%,10055,86.52%
Georgia,Chickamauga,1,1,"1,891",11502,88.02%,10056,86.53%
Georgia,College Park,1,1,"1,892",11503,88.03%,10057,86.54%
Georgia,Colquitt,1,1,"1,893",11504,88.04%,10058,86.55%
Georgia,Dekalb (county),1,1,"1,894",11505,88.05%,10059,86.56%
Georgia,Dodge (county),1,1,"1,895",11506,88.05%,10060,86.57%
Georgia,East Dublin,1,1,"1,896",11507,88.06%,10061,86.58%
Georgia,Eden,1,1,"1,897",11508,88.07%,10062,86.58%
Georgia,Ellenwood,1,1,"1,898",11509,88.08%,10063,86.59%
Georgia,Ellijay,1,1,"1,899",11510,88.08%,10064,86.60%
Georgia,Forsyth,1,1,"1,900",11511,88.09%,10065,86.61%
Georgia,Forsyth County,1,1,"1,901",11512,88.10%,10066,86.62%
Georgia,Fort Valley,1,1,"1,902",11513,88.11%,10067,86.63%
Georgia,Franklin,1,1,"1,903",11514,88.12%,10068,86.64%
Georgia,Fulton (county),1,1,"1,904",11515,88.12%,10069,86.64%
Georgia,Greenvile,1,1,"1,905",11516,88.13%,10070,86.65%
Georgia,Hall County,1,1,"1,906",11517,88.14%,10071,86.66%
Georgia,Hawkinsville,1,1,"1,907",11518,88.15%,10072,86.67%
Georgia,Hinesville,1,1,"1,908",11519,88.15%,10073,86.68%
Georgia,Jefferson,1,1,"1,909",11520,88.16%,10074,86.69%
Georgia,Jesup,1,1,"1,910",11521,88.17%,10075,86.70%
Georgia,Jonesboro,1,1,"1,911",11522,88.18%,10076,86.71%
Georgia,Kennesaw,1,1,"1,912",11523,88.18%,10077,86.71%
Georgia,Leesburg,1,1,"1,913",11524,88.19%,10078,86.72%
Georgia,Lincolnton,1,1,"1,914",11525,88.20%,10079,86.73%
Georgia,Lithia Springs,1,1,"1,915",11526,88.21%,10080,86.74%
Georgia,Locust Grove,1,1,"1,916",11527,88.21%,10081,86.75%
Georgia,Long (county),1,1,"1,917",11528,88.22%,10082,86.76%
Georgia,Midway,1,1,"1,918",11529,88.23%,10083,86.77%
Georgia,Montgomery (county),1,1,"1,919",11530,88.24%,10084,86.77%
Georgia,Newington,1,1,"1,920",11531,88.25%,10085,86.78%
Georgia,Norcross (Peachtree Corners),1,1,"1,921",11532,88.25%,10086,86.79%
Georgia,Oglethorpe (county),1,1,"1,922",11533,88.26%,10087,86.80%
Georgia,Omega,1,1,"1,923",11534,88.27%,10088,86.81%
Georgia,Palmetto,1,1,"1,924",11535,88.28%,10089,86.82%
Georgia,Panthersville,1,1,"1,925",11536,88.28%,10090,86.83%
Georgia,Pine Mountain,1,1,"1,926",11537,88.29%,10091,86.83%
Georgia,Port Wentworth,1,1,"1,927",11538,88.30%,10092,86.84%
Georgia,Rabun County,1,1,"1,928",11539,88.31%,10093,86.85%
Georgia,Rock Spring,1,1,"1,929",11540,88.31%,10094,86.86%
Georgia,Rockmart,1,1,"1,930",11541,88.32%,10095,86.87%
Georgia,Roswell,1,1,"1,931",11542,88.33%,10096,86.88%
Georgia,Sandersville,1,1,"1,932",11543,88.34%,10097,86.89%
Georgia,Smyrna,1,1,"1,933",11544,88.34%,10098,86.89%
Georgia,Sparks,1,1,"1,934",11545,88.35%,10099,86.90%
Georgia,Springfield,1,1,"1,935",11546,88.36%,10100,86.91%
Georgia,Statesboro,1,1,"1,936",11547,88.37%,10101,86.92%
Georgia,Sylvester,1,1,"1,937",11548,88.38%,10102,86.93%
Georgia,Talking Rock,1,1,"1,938",11549,88.38%,10103,86.94%
Georgia,Thomasville,1,1,"1,939",11550,88.39%,10104,86.95%
Georgia,Unadilla,1,1,"1,940",11551,88.40%,10105,86.95%
Georgia,Uvalda,1,1,"1,941",11552,88.41%,10106,86.96%
Georgia,White,1,1,"1,942",11553,88.41%,10107,86.97%
Georgia,Woodstock,1,1,"1,943",11554,88.42%,10108,86.98%
Hawaii,Honolulu (Kalihi),1,1,"1,944",11555,88.43%,10109,86.99%
Hawaii,Kahului,1,1,"1,945",11556,88.44%,10110,87.00%
Hawaii,Wahiawa,1,1,"1,946",11557,88.44%,10111,87.01%
Hawaii,Wailuku,1,1,"1,947",11558,88.45%,10112,87.01%
Idaho,Ammon,1,1,"1,948",11559,88.46%,10113,87.02%
Idaho,Bannock (county),1,1,"1,949",11560,88.47%,10114,87.03%
Idaho,Coeur D Alene,1,1,"1,950",11561,88.47%,10115,87.04%
Idaho,Council,1,1,"1,951",11562,88.48%,10116,87.05%
Idaho,Filer,1,1,"1,952",11563,88.49%,10117,87.06%
Idaho,Homedale,1,1,"1,953",11564,88.50%,10118,87.07%
Idaho,Lewiston,1,1,"1,954",11565,88.51%,10119,87.08%
Idaho,Meridian,1,1,"1,955",11566,88.51%,10120,87.08%
Idaho,Middleton,1,1,"1,956",11567,88.52%,10121,87.09%
Idaho,Orofino,1,1,"1,957",11568,88.53%,10122,87.10%
Idaho,Rexburg,1,1,"1,958",11569,88.54%,10123,87.11%
Idaho,Rigby,1,1,"1,959",11570,88.54%,10124,87.12%
Idaho,Sandpoint,1,1,"1,960",11571,88.55%,10125,87.13%
Idaho,Spirit Lake (Edgemere),1,1,"1,961",11572,88.56%,10126,87.14%
Idaho,Wilder,1,1,"1,962",11573,88.57%,10127,87.14%
Illinois,Arcola,1,1,"1,963",11574,88.57%,10128,87.15%
Illinois,Athens,1,1,"1,964",11575,88.58%,10129,87.16%
Illinois,Bedford Park,1,1,"1,965",11576,88.59%,10130,87.17%
Illinois,Belleville (Shiloh),1,1,"1,966",11577,88.60%,10131,87.18%
Illinois,Belvidere,1,1,"1,967",11578,88.60%,10132,87.19%
Illinois,Berwyn,1,1,"1,968",11579,88.61%,10133,87.20%
Illinois,Bloomingdale,1,1,"1,969",11580,88.62%,10134,87.20%
Illinois,Bridgeport,1,1,"1,970",11581,88.63%,10135,87.21%
Illinois,Bridgeview,1,1,"1,971",11582,88.64%,10136,87.22%
Illinois,Brooklyn,1,1,"1,972",11583,88.64%,10137,87.23%
Illinois,Cairo,1,1,"1,973",11584,88.65%,10138,87.24%
Illinois,Carbondale,1,1,"1,974",11585,88.66%,10139,87.25%
Illinois,Country Club Hills,1,1,"1,975",11586,88.67%,10140,87.26%
Illinois,Crystal Lake,1,1,"1,976",11587,88.67%,10141,87.26%
Illinois,Des Plaines (Rosemont),1,1,"1,977",11588,88.68%,10142,87.27%
Illinois,East Saint Louis (Cahokia),1,1,"1,978",11589,88.69%,10143,87.28%
Illinois,East Saint Louis (Sauget),1,1,"1,979",11590,88.70%,10144,87.29%
Illinois,East Saint Louis (Washingtn Park),1,1,"1,980",11591,88.70%,10145,87.30%
Illinois,East St. Louis,1,1,"1,981",11592,88.71%,10146,87.31%
Illinois,Fairfield,1,1,"1,982",11593,88.72%,10147,87.32%
Illinois,Ford Heights,1,1,"1,983",11594,88.73%,10148,87.32%
Illinois,Fox Lake,1,1,"1,984",11595,88.73%,10149,87.33%
Illinois,Granite City,1,1,"1,985",11596,88.74%,10150,87.34%
Illinois,Jacksonville,1,1,"1,986",11597,88.75%,10151,87.35%
Illinois,La Rose,1,1,"1,987",11598,88.76%,10152,87.36%
Illinois,Lanark,1,1,"1,988",11599,88.77%,10153,87.37%
Illinois,Lansing,1,1,"1,989",11600,88.77%,10154,87.38%
Illinois,Lenzburg,1,1,"1,990",11601,88.78%,10155,87.38%
Illinois,Lincolnwood (Chi),1,1,"1,991",11602,88.79%,10156,87.39%
Illinois,Lisle,1,1,"1,992",11603,88.80%,10157,87.40%
Illinois,Lockport,1,1,"1,993",11604,88.80%,10158,87.41%
Illinois,Loves Park,1,1,"1,994",11605,88.81%,10159,87.42%
Illinois,Lyons,1,1,"1,995",11606,88.82%,10160,87.43%
Illinois,Machesney Park,1,1,"1,996",11607,88.83%,10161,87.44%
Illinois,Macoupin County,1,1,"1,997",11608,88.83%,10162,87.45%
Illinois,Madison,1,1,"1,998",11609,88.84%,10163,87.45%
Illinois,Markham,1,1,"1,999",11610,88.85%,10164,87.46%
Illinois,McHenry (county),1,1,"2,000",11611,88.86%,10165,87.47%
Illinois,Metropolis,1,1,"2,001",11612,88.87%,10166,87.48%
Illinois,Moline,1,1,"2,002",11613,88.87%,10167,87.49%
Illinois,Mount Vernon,1,1,"2,003",11614,88.88%,10168,87.50%
Illinois,Nauvoo,1,1,"2,004",11615,88.89%,10169,87.51%
Illinois,North Chicago,1,1,"2,005",11616,88.90%,10170,87.51%
Illinois,Northlake,1,1,"2,006",11617,88.90%,10171,87.52%
Illinois,Ozark,1,1,"2,007",11618,88.91%,10172,87.53%
Illinois,Park Forest,1,1,"2,008",11619,88.92%,10173,87.54%
Illinois,Pinckneyville,1,1,"2,009",11620,88.93%,10174,87.55%
Illinois,Reddick,1,1,"2,010",11621,88.93%,10175,87.56%
Illinois,Riverdale,1,1,"2,011",11622,88.94%,10176,87.57%
Illinois,Rosemont,1,1,"2,012",11623,88.95%,10177,87.57%
Illinois,Schiller Park,1,1,"2,013",11624,88.96%,10178,87.58%
Illinois,South Holland,1,1,"2,014",11625,88.96%,10179,87.59%
Illinois,Sparta,1,1,"2,015",11626,88.97%,10180,87.60%
Illinois,Springfield (Jerome),1,1,"2,016",11627,88.98%,10181,87.61%
Illinois,Wauconda,1,1,"2,017",11628,88.99%,10182,87.62%
Illinois,Waukegan,1,1,"2,018",11629,89.00%,10183,87.63%
Illinois,Zion,1,1,"2,019",11630,89.00%,10184,87.63%
Indiana,Allen (county),1,1,"2,020",11631,89.01%,10185,87.64%
Indiana,Austin,1,1,"2,021",11632,89.02%,10186,87.65%
Indiana,Bloomington,1,1,"2,022",11633,89.03%,10187,87.66%
Indiana,Center Township,1,1,"2,023",11634,89.03%,10188,87.67%
Indiana,Clarksville,1,1,"2,024",11635,89.04%,10189,87.68%
Indiana,Clay County,1,1,"2,025",11636,89.05%,10190,87.69%
Indiana,Crown Point,1,1,"2,026",11637,89.06%,10191,87.69%
Indiana,Daviess County,1,1,"2,027",11638,89.06%,10192,87.70%
Indiana,French Lick,1,1,"2,028",11639,89.07%,10193,87.71%
Indiana,Griffith,1,1,"2,029",11640,89.08%,10194,87.72%
Indiana,Hanover,1,1,"2,030",11641,89.09%,10195,87.73%
Indiana,Huntington,1,1,"2,031",11642,89.09%,10196,87.74%
Indiana,Indianapolis (Lawrence),1,1,"2,032",11643,89.10%,10197,87.75%
Indiana,Kosciusko (county),1,1,"2,033",11644,89.11%,10198,87.75%
Indiana,La Porte (county),1,1,"2,034",11645,89.12%,10199,87.76%
Indiana,Lawrence,1,1,"2,035",11646,89.13%,10200,87.77%
Indiana,Lawrenceburg,1,1,"2,036",11647,89.13%,10201,87.78%
Indiana,Madison,1,1,"2,037",11648,89.14%,10202,87.79%
Indiana,Michigan City,1,1,"2,038",11649,89.15%,10203,87.80%
Indiana,Monon,1,1,"2,039",11650,89.16%,10204,87.81%
Indiana,New Albany,1,1,"2,040",11651,89.16%,10205,87.82%
Indiana,Noblesville,1,1,"2,041",11652,89.17%,10206,87.82%
Indiana,Orange County,1,1,"2,042",11653,89.18%,10207,87.83%
Indiana,Osceola,1,1,"2,043",11654,89.19%,10208,87.84%
Indiana,Pierceton,1,1,"2,044",11655,89.19%,10209,87.85%
Indiana,Scott (county),1,1,"2,045",11656,89.20%,10210,87.86%
Indiana,Seymour,1,1,"2,046",11657,89.21%,10211,87.87%
Indiana,Shelbyville,1,1,"2,047",11658,89.22%,10212,87.88%
Indiana,South Whitley,1,1,"2,048",11659,89.22%,10213,87.88%
Indiana,Speedway,1,1,"2,049",11660,89.23%,10214,87.89%
Indiana,St. John,1,1,"2,050",11661,89.24%,10215,87.90%
Indiana,Taswell,1,1,"2,051",11662,89.25%,10216,87.91%
Indiana,Walkerton,1,1,"2,052",11663,89.26%,10217,87.92%
Iowa,Ames,1,1,"2,053",11664,89.26%,10218,87.93%
Iowa,Bettendorf,1,1,"2,054",11665,89.27%,10219,87.94%
Iowa,Coralville,1,1,"2,055",11666,89.28%,10220,87.94%
Iowa,Dayton,1,1,"2,056",11667,89.29%,10221,87.95%
Iowa,De Witt (Dewitt),1,1,"2,057",11668,89.29%,10222,87.96%
Iowa,Emmet (county),1,1,"2,058",11669,89.30%,10223,87.97%
Iowa,Fort Dodge,1,1,"2,059",11670,89.31%,10224,87.98%
Iowa,Hampton,1,1,"2,060",11671,89.32%,10225,87.99%
Iowa,Marion (county),1,1,"2,061",11672,89.32%,10226,88.00%
Iowa,Marshalltown,1,1,"2,062",11673,89.33%,10227,88.00%
Iowa,Mason City,1,1,"2,063",11674,89.34%,10228,88.01%
Iowa,Mediapolis,1,1,"2,064",11675,89.35%,10229,88.02%
Iowa,Nodaway,1,1,"2,065",11676,89.35%,10230,88.03%
Iowa,Ottumwa,1,1,"2,066",11677,89.36%,10231,88.04%
Iowa,Pomeroy,1,1,"2,067",11678,89.37%,10232,88.05%
Iowa,Sloan,1,1,"2,068",11679,89.38%,10233,88.06%
Iowa,Wapello,1,1,"2,069",11680,89.39%,10234,88.06%
Iowa,Waukee,1,1,"2,070",11681,89.39%,10235,88.07%
Iowa,Wellman,1,1,"2,071",11682,89.40%,10236,88.08%
Kansas,Assaria,1,1,"2,072",11683,89.41%,10237,88.09%
Kansas,Atchison,1,1,"2,073",11684,89.42%,10238,88.10%
Kansas,Colby,1,1,"2,074",11685,89.42%,10239,88.11%
Kansas,Coldwater,1,1,"2,075",11686,89.43%,10240,88.12%
Kansas,Cullison,1,1,"2,076",11687,89.44%,10241,88.12%
Kansas,El Dorado,1,1,"2,077",11688,89.45%,10242,88.13%
Kansas,Fort Riley,1,1,"2,078",11689,89.45%,10243,88.14%
Kansas,Garden City,1,1,"2,079",11690,89.46%,10244,88.15%
Kansas,Gardner,1,1,"2,080",11691,89.47%,10245,88.16%
Kansas,Manhattan,1,1,"2,081",11692,89.48%,10246,88.17%
Kansas,Norton,1,1,"2,082",11693,89.48%,10247,88.18%
Kansas,Oakley,1,1,"2,083",11694,89.49%,10248,88.19%
Kansas,Ogden,1,1,"2,084",11695,89.50%,10249,88.19%
Kansas,Olathe,1,1,"2,085",11696,89.51%,10250,88.20%
Kansas,Shawnee,1,1,"2,086",11697,89.52%,10251,88.21%
Kansas,Shawnee (county),1,1,"2,087",11698,89.52%,10252,88.22%
Kansas,Spring Hill,1,1,"2,088",11699,89.53%,10253,88.23%
Kansas,Wakeeney,1,1,"2,089",11700,89.54%,10254,88.24%
Kentucky,Alexandria,1,1,"2,090",11701,89.55%,10255,88.25%
Kentucky,Arjay,1,1,"2,091",11702,89.55%,10256,88.25%
Kentucky,Ary,1,1,"2,092",11703,89.56%,10257,88.26%
Kentucky,Ballard County,1,1,"2,093",11704,89.57%,10258,88.27%
Kentucky,Barbourville,1,1,"2,094",11705,89.58%,10259,88.28%
Kentucky,Bath County,1,1,"2,095",11706,89.58%,10260,88.29%
Kentucky,Battletown,1,1,"2,096",11707,89.59%,10261,88.30%
Kentucky,Bell (county),1,1,"2,097",11708,89.60%,10262,88.31%
Kentucky,Big Creek,1,1,"2,098",11709,89.61%,10263,88.31%
Kentucky,Bowling Green,1,1,"2,099",11710,89.62%,10264,88.32%
Kentucky,Brodhead,1,1,"2,100",11711,89.62%,10265,88.33%
Kentucky,Browder,1,1,"2,101",11712,89.63%,10266,88.34%
Kentucky,Bullitt (county),1,1,"2,102",11713,89.64%,10267,88.35%
Kentucky,Burkesville,1,1,"2,103",11714,89.65%,10268,88.36%
Kentucky,Casey County,1,1,"2,104",11715,89.65%,10269,88.37%
Kentucky,Clark (county),1,1,"2,105",11716,89.66%,10270,88.37%
Kentucky,Covington (Ludlow),1,1,"2,106",11717,89.67%,10271,88.38%
Kentucky,Dry Ridge,1,1,"2,107",11718,89.68%,10272,88.39%
Kentucky,Elliott County,1,1,"2,108",11719,89.68%,10273,88.40%
Kentucky,Elsmere,1,1,"2,109",11720,89.69%,10274,88.41%
Kentucky,Erlanger (Elsmere),1,1,"2,110",11721,89.70%,10275,88.42%
Kentucky,Floyd (county),1,1,"2,111",11722,89.71%,10276,88.43%
Kentucky,Grayson,1,1,"2,112",11723,89.71%,10277,88.43%
Kentucky,Grayson (county),1,1,"2,113",11724,89.72%,10278,88.44%
Kentucky,Greenup (county),1,1,"2,114",11725,89.73%,10279,88.45%
Kentucky,Gunlock,1,1,"2,115",11726,89.74%,10280,88.46%
Kentucky,Harlan (county),1,1,"2,116",11727,89.75%,10281,88.47%
Kentucky,Independence,1,1,"2,117",11728,89.75%,10282,88.48%
Kentucky,Island,1,1,"2,118",11729,89.76%,10283,88.49%
Kentucky,Knott County,1,1,"2,119",11730,89.77%,10284,88.49%
Kentucky,Laurel County,1,1,"2,120",11731,89.78%,10285,88.50%
Kentucky,Lebanon,1,1,"2,121",11732,89.78%,10286,88.51%
Kentucky,Lebanon Junction,1,1,"2,122",11733,89.79%,10287,88.52%
Kentucky,Leitchfield,1,1,"2,123",11734,89.80%,10288,88.53%
Kentucky,Louisa,1,1,"2,124",11735,89.81%,10289,88.54%
Kentucky,Martin (county),1,1,"2,125",11736,89.81%,10290,88.55%
Kentucky,Mc Daniels (McDaniels),1,1,"2,126",11737,89.82%,10291,88.56%
Kentucky,Mckee,1,1,"2,127",11738,89.83%,10292,88.56%
Kentucky,Mclean County (county),1,1,"2,128",11739,89.84%,10293,88.57%
Kentucky,Monroe County,1,1,"2,129",11740,89.84%,10294,88.58%
Kentucky,Morehead,1,1,"2,130",11741,89.85%,10295,88.59%
Kentucky,Munfordville (Rowletts),1,1,"2,131",11742,89.86%,10296,88.60%
Kentucky,Nancy,1,1,"2,132",11743,89.87%,10297,88.61%
Kentucky,Pikeville,1,1,"2,133",11744,89.88%,10298,88.62%
Kentucky,Pine Ridge,1,1,"2,134",11745,89.88%,10299,88.62%
Kentucky,Pine Top,1,1,"2,135",11746,89.89%,10300,88.63%
Kentucky,Pulaski (county),1,1,"2,136",11747,89.90%,10301,88.64%
Kentucky,Radcliff,1,1,"2,137",11748,89.91%,10302,88.65%
Kentucky,Reidland,1,1,"2,138",11749,89.91%,10303,88.66%
Kentucky,Rush,1,1,"2,139",11750,89.92%,10304,88.67%
Kentucky,Scott (county),1,1,"2,140",11751,89.93%,10305,88.68%
Kentucky,Shelbyville,1,1,"2,141",11752,89.94%,10306,88.68%
Kentucky,Shepherdsville,1,1,"2,142",11753,89.94%,10307,88.69%
Kentucky,Spencer (county),1,1,"2,143",11754,89.95%,10308,88.70%
Kentucky,Stamping Ground,1,1,"2,144",11755,89.96%,10309,88.71%
Kentucky,Topmost,1,1,"2,145",11756,89.97%,10310,88.72%
Kentucky,Viper,1,1,"2,146",11757,89.97%,10311,88.73%
Kentucky,White Plains,1,1,"2,147",11758,89.98%,10312,88.74%
Kentucky,Wickliffe,1,1,"2,148",11759,89.99%,10313,88.74%
Kentucky,Wilmore,1,1,"2,149",11760,90.00%,10314,88.75%
Louisiana,Acadia Parish,1,1,"2,150",11761,90.01%,10315,88.76%
Louisiana,Alexandria,1,1,"2,151",11762,90.01%,10316,88.77%
Louisiana,Amite,1,1,"2,152",11763,90.02%,10317,88.78%
Louisiana,Bastrop,1,1,"2,153",11764,90.03%,10318,88.79%
Louisiana,Bossier (county),1,1,"2,154",11765,90.04%,10319,88.80%
Louisiana,Bossier City,1,1,"2,155",11766,90.04%,10320,88.80%
Louisiana,Bossier Parish,1,1,"2,156",11767,90.05%,10321,88.81%
Louisiana,Bourg,1,1,"2,157",11768,90.06%,10322,88.82%
Louisiana,Church Point,1,1,"2,158",11769,90.07%,10323,88.83%
Louisiana,Concordia Parish,1,1,"2,159",11770,90.07%,10324,88.84%
Louisiana,Deridder,1,1,"2,160",11771,90.08%,10325,88.85%
Louisiana,Evangeline Parish,1,1,"2,161",11772,90.09%,10326,88.86%
Louisiana,Folsom,1,1,"2,162",11773,90.10%,10327,88.86%
Louisiana,Garyville,1,1,"2,163",11774,90.10%,10328,88.87%
Louisiana,Hahnville,1,1,"2,164",11775,90.11%,10329,88.88%
Louisiana,Hollygrove,1,1,"2,165",11776,90.12%,10330,88.89%
Louisiana,Iowa,1,1,"2,166",11777,90.13%,10331,88.90%
Louisiana,Keithville,1,1,"2,167",11778,90.14%,10332,88.91%
Louisiana,Lafayette Parish,1,1,"2,168",11779,90.14%,10333,88.92%
Louisiana,Lake Charles (Moss Bluff),1,1,"2,169",11780,90.15%,10334,88.93%
Louisiana,Leesville,1,1,"2,170",11781,90.16%,10335,88.93%
Louisiana,Mansfield,1,1,"2,171",11782,90.17%,10336,88.94%
Louisiana,Many,1,1,"2,172",11783,90.17%,10337,88.95%
Louisiana,Moultrie,1,1,"2,173",11784,90.18%,10338,88.96%
Louisiana,New Iberia,1,1,"2,174",11785,90.19%,10339,88.97%
Louisiana,New Sarpy,1,1,"2,175",11786,90.20%,10340,88.98%
Louisiana,Oberlin,1,1,"2,176",11787,90.20%,10341,88.99%
Louisiana,Opelousas,1,1,"2,177",11788,90.21%,10342,88.99%
Louisiana,Pineville,1,1,"2,178",11789,90.22%,10343,89.00%
Louisiana,Pride,1,1,"2,179",11790,90.23%,10344,89.01%
Louisiana,Raceland,1,1,"2,180",11791,90.23%,10345,89.02%
Louisiana,Rayne,1,1,"2,181",11792,90.24%,10346,89.03%
Louisiana,Reserve,1,1,"2,182",11793,90.25%,10347,89.04%
Louisiana,Saint Martinville,1,1,"2,183",11794,90.26%,10348,89.05%
Louisiana,Sulphur,1,1,"2,184",11795,90.27%,10349,89.05%
Louisiana,Sunset,1,1,"2,185",11796,90.27%,10350,89.06%
Louisiana,Tangipahoa (county),1,1,"2,186",11797,90.28%,10351,89.07%
Louisiana,Terrebonne (county),1,1,"2,187",11798,90.29%,10352,89.08%
Louisiana,Thibodaux,1,1,"2,188",11799,90.30%,10353,89.09%
Louisiana,Vermilion (county),1,1,"2,189",11800,90.30%,10354,89.10%
Louisiana,Westwego,1,1,"2,190",11801,90.31%,10355,89.11%
Louisiana,Westwego (Avondale),1,1,"2,191",11802,90.32%,10356,89.11%
Louisiana,Winnfield,1,1,"2,192",11803,90.33%,10357,89.12%
Maine,Acton,1,1,"2,193",11804,90.33%,10358,89.13%
Maine,Gardiner,1,1,"2,194",11805,90.34%,10359,89.14%
Maine,Guilford (Parkman),1,1,"2,195",11806,90.35%,10360,89.15%
Maine,Parkman,1,1,"2,196",11807,90.36%,10361,89.16%
Maine,Portland,1,1,"2,197",11808,90.37%,10362,89.17%
Maine,Smyrna,1,1,"2,198",11809,90.37%,10363,89.17%
Maine,South Portland,1,1,"2,199",11810,90.38%,10364,89.18%
Maine,Waldoboro,1,1,"2,200",11811,90.39%,10365,89.19%
Maine,Wilton,1,1,"2,201",11812,90.40%,10366,89.20%
Maine,Winthrop,1,1,"2,202",11813,90.40%,10367,89.21%
Maryland,Accokeek,1,1,"2,203",11814,90.41%,10368,89.22%
Maryland,Bladensburg,1,1,"2,204",11815,90.42%,10369,89.23%
Maryland,Bowie,1,1,"2,205",11816,90.43%,10370,89.24%
Maryland,Brooklyn,1,1,"2,206",11817,90.43%,10371,89.24%
Maryland,Burtonsville,1,1,"2,207",11818,90.44%,10372,89.25%
Maryland,Capital Heights,1,1,"2,208",11819,90.45%,10373,89.26%
Maryland,College Park,1,1,"2,209",11820,90.46%,10374,89.27%
Maryland,Columbia,1,1,"2,210",11821,90.46%,10375,89.28%
Maryland,Damascus,1,1,"2,211",11822,90.47%,10376,89.29%
Maryland,District Heights,1,1,"2,212",11823,90.48%,10377,89.30%
Maryland,Edgewood,1,1,"2,213",11824,90.49%,10378,89.30%
Maryland,Elkton,1,1,"2,214",11825,90.50%,10379,89.31%
Maryland,Forestville,1,1,"2,215",11826,90.50%,10380,89.32%
Maryland,Fort George G Meade,1,1,"2,216",11827,90.51%,10381,89.33%
Maryland,Gaithersburg,1,1,"2,217",11828,90.52%,10382,89.34%
Maryland,Hyattsville (New Carrollton),1,1,"2,218",11829,90.53%,10383,89.35%
Maryland,Indian Head,1,1,"2,219",11830,90.53%,10384,89.36%
